timestamp,case_id,severity,winner_id,winning_bid,jains_fairness,num_bidders
1786685466843,C-13,HIGH,Amb-4,4.00,0.8334,5
1786685466871,C-14,MEDIUM,Amb-1,0.00,0.8466,5
1786685466899,C-15,HIGH,Amb-1,0.00,0.8555,5
1786685466929,C-16,CRITICAL,Amb-3,6.50,0.8522,5
1786685466956,C-17,CRITICAL,Amb-4,4.00,0.8424,5
1786685466986,C-18,MEDIUM,Amb-4,4.00,0.8309,5
1786685467013,C-19,MEDIUM,Amb-4,4.00,0.8182,5
1786685467042,C-20,LOW,Amb-3,6.50,0.8170,5
1786685467070,C-21,LOW,Amb-1,0.00,0.8258,5
1786685467099,C-22,CRITICAL,Amb-2,0.00,0.8318,5
1786685467128,C-23,LOW,Amb-1,0.00,0.8380,5
1786685467156,C-24,HIGH,Amb-2,0.00,0.8418,5
1786685467185,C-25,CRITICAL,Amb-2,0.00,0.8431,5
1786685467226,C-26,MEDIUM,Amb-1,0.00,0.8476,5
1786685467258,C-27,CRITICAL,Amb-1,0.00,0.8499,5
1786685467289,C-28,MEDIUM,Amb-5,0.00,0.8757,5
1786685467318,C-29,HIGH,Amb-4,4.00,0.8680,5
1786685467409,C-0,HIGH,Amb-1,0.00,0.8687,5
1786685467438,C-1,MEDIUM,Amb-1,0.00,0.8676,5
1786685467468,C-2,CRITICAL,Amb-1,0.00,0.8648,5
1786685467495,C-3,HIGH,Amb-4,4.00,0.8584,5
1786685467523,C-4,MEDIUM,Amb-4,4.00,0.8511,5
1786685467551,C-5,CRITICAL,Amb-4,4.00,0.8428,5
1786685467586,C-6,MEDIUM,Amb-3,6.50,0.8467,5
1786685467614,C-7,MEDIUM,Amb-3,6.50,0.8490,5
1786685467643,C-8,HIGH,Amb-3,6.50,0.8498,5
1786685467672,C-9,LOW,Amb-4,0.00,0.8425,5
1786685467700,C-10,HIGH,Amb-4,0.00,0.8345,5
1786685467728,C-11,LOW,Amb-4,0.00,0.8259,5
1786685467757,C-12,HIGH,Amb-5,0.00,0.8453,5
1786685467785,C-13,CRITICAL,Amb-5,0.00,0.8633,5
1786685467815,C-14,HIGH,Amb-5,0.00,0.8797,5
1786685467843,C-15,CRITICAL,Amb-2,0.00,0.8852,5
1786685467871,C-16,LOW,Amb-2,0.00,0.8892,5
1786685467900,C-17,HIGH,Amb-2,0.00,0.8919,5
1786685467929,C-18,LOW,Amb-1,2.00,0.8933,5
1786685467958,C-19,MEDIUM,Amb-1,2.00,0.8936,5
1786685467986,C-20,HIGH,Amb-1,2.00,0.8927,5
1786685468016,C-21,CRITICAL,Amb-3,0.00,0.8949,5
1786685468044,C-22,MEDIUM,Amb-3,0.00,0.8960,5
1786685468073,C-23,LOW,Amb-3,0.00,0.8961,5
1786685468115,C-24,MEDIUM,Amb-1,0.00,0.8951,5
1786685468146,C-25,HIGH,Amb-1,0.00,0.8933,5
1786685468176,C-26,MEDIUM,Amb-1,0.00,0.8906,5
1786685468204,C-27,HIGH,Amb-4,4.00,0.8860,5
1786685468234,C-28,LOW,Amb-4,4.00,0.8809,5
1786685468262,C-29,CRITICAL,Amb-4,4.00,0.8752,5
1786685468291,C-30,LOW,Amb-3,6.50,0.8763,5
1786685468318,C-31,HIGH,Amb-3,6.50,0.8765,5
1786685468347,C-32,HIGH,Amb-3,6.50,0.8760,5
1786685468376,C-33,CRITICAL,Amb-4,0.00,0.8709,5
1786685468405,C-34,MEDIUM,Amb-4,0.00,0.8654,5
